Sector,SectorDesc,Dept,DeptDesc,OnHand_Qty,OnHand_CurrCost,OnHand_CurrCost_Val,OnHand_SKUCount,MTD_Qty,MTD_Sales,MTD_Mkdn_Pct,MTD_Profit,MTD_GP_Pct,MTD_ROI,MTD_Turns,PriorYr_MTD_Qty,PriorYr_MTD_Sales,PriorYr_MTD_Sales_PctChg,PriorYr_MTD_Profit,PriorYr_MTD_Profit_PctChg,PriorYr_MTD_OnHandCostValue,PriorYr_MTD_OnHandCostValue_PctChg
5,SECTOR ZAPATO MUJER,56,ZAP. FLATS MUJER,37896,129.88,"4,921,805.50",1285,"10,749","2,371,464.05",72.4,"985,283.37",41.5,210,3,"16,591","2,618,907.71",-9.4,"878,977.00",12.1,"4,654,115.19",5.8
6,SECTOR ROPA MUJER,67,BLUSA CASUAL MUJER,68361,107.23,"7,330,618.98",4311,"29,625","4,169,292.97",136.5,"721,765.56",17.3,96,4.6,"16,371","3,042,918.70",37,"899,512.69",-19.8,"11,561,872.49",-36.6
1,SECTOR DE MARCAS H,13,ZAPATO MARCA HOMBRE,9162,544.07,"4,984,766.59",410,911,"999,928.88",33.7,"462,988.53",46.3,106,1.2,"1,529","1,091,156.16",-8.4,"120,652.01",283.7,"5,094,049.26",-2.1
5,SECTOR ZAPATO MUJER,58,ZAP. TACON CORRIDO M,21219,183.69,"3,897,699.33",816,"5,203","1,430,059.30",82,"460,651.21",32.2,126,2.7,"4,963","989,271.23",44.6,"154,528.85",198.1,"4,130,205.81",-5.6
3,SECTOR ROPA HOMBRE,33,CAMISAS HOMBRE,19161,102.74,"1,968,624.16",515,"4,350","928,643.81",64.5,"442,741.27",47.7,241,2.6,"3,005","725,208.74",28.1,"402,065.28",10.1,"5,560,261.28",-64.6
3,SECTOR ROPA HOMBRE,45,CHUMPAS HOMBRE,4024,325.68,"1,310,538.05",100,"1,188","759,989.92",50,"409,023.09",53.8,330,2.8,682,"385,678.00",97.1,"197,575.31",107,"924,495.78",41.8
4,SECTOR ZAPATO HOMBRE,51,ZAPATOS PU HOMBRE,25416,203.72,"5,177,734.54",478,"2,224","894,296.86",46,"407,953.95",45.6,90,1.1,"2,318","614,299.55",45.6,"167,303.32",143.8,"7,873,424.10",-34.3
2,SECTOR DE MARCAS M,26,CARTERAS MONED MARCA,6194,140.31,"869,074.19",674,"2,196","749,874.48",54.3,"386,845.86",51.6,440,4.1,"1,314","565,036.20",32.7,"322,688.79",19.9,"1,808,233.13",-52
3,SECTOR ROPA HOMBRE,34,CAMISETAS HOMBRE,35239,97.44,"3,433,783.79",1121,"6,533","1,025,561.17",97.3,"366,132.38",35.7,117,2.1,"6,049","848,926.35",20.8,"250,853.16",46,"5,025,043.55",-31.6
3,SECTOR ROPA HOMBRE,32,JEANS HOMBRE,10843,173,"1,875,822.47",143,"1,547","651,488.55",27.2,"360,714.57",55.4,215,1.7,746,"288,617.47",125.7,"149,922.77",140.6,"1,174,671.91",59.4
6,SECTOR ROPA MUJER,64,JEANS MUJER,13578,176.86,"2,401,472.27",349,"1,787","714,930.06",44.6,"314,761.71",44,145,1.8,"1,371","574,750.94",24.4,"223,887.32",40.6,"2,349,297.47",2.2
1,SECTOR DE MARCAS H,14,ZAP DEP MARCA HOMBRE,13811,611.41,"8,444,166.43",717,"2,062","1,689,241.42",71.2,"272,972.02",16.2,36,1.9,"2,269","1,926,070.26",-12.3,"266,317.33",2.5,"9,248,252.74",-8.6
1,SECTOR DE MARCAS H,5,CAMISAS MARCA HOMBRE,12035,239.33,"2,880,354.64",914,"1,260","570,878.71",43.3,"268,667.43",47.1,106,1.2,847,"375,561.19",52,"169,651.02",58.4,"1,846,059.46",55.9
5,SECTOR ZAPATO MUJER,57,ZAP. TACON MUJER,17064,199.02,"3,396,141.18",1032,"2,384","738,131.19",77.9,"237,186.03",32.1,78,1.7,"2,293","482,791.41",52.9,"30,972.83",665.8,"4,401,060.42",-22.9
1,SECTOR DE MARCAS H,1,TRAJES MARCA HOMBRE,1313,678.14,"890,393.96",152,239,"376,564.19",15.5,"222,622.48",59.1,277,1.9,300,"440,118.66",-14.4,"245,148.42",-9.2,"2,385,500.43",-62.7
6,SECTOR ROPA MUJER,82,CHAQUETAS MUJER,6174,232.37,"1,434,658.28",262,"1,013","463,513.14",42.5,"219,823.55",47.4,170,1.9,"1,122","377,384.30",22.8,"131,797.50",66.8,"871,893.53",64.3
6,SECTOR ROPA MUJER,73,VESTIDOS MUJER,17840,196.76,"3,510,232.87",1474,"6,983","1,544,580.54",158.3,"218,012.65",14.1,63,3.8,"2,004","858,166.49",80,"339,877.79",-35.9,"5,154,233.91",-31.9
6,SECTOR ROPA MUJER,62,PANTALON DE MUJER,9226,147.9,"1,364,519.90",226,895,"397,498.01",33.2,"182,635.19",45.9,149,1.8,964,"326,192.30",21.9,"86,758.51",110.5,"1,738,167.32",-21.5
1,SECTOR DE MARCAS H,2,PANT TRAJES MARCA H,4169,294.9,"1,229,452.30",203,562,"339,165.08",27.1,"172,562.11",50.9,160,1.5,478,"315,356.47",7.5,"186,188.97",-7.3,"2,240,345.42",-45.9
6,SECTOR ROPA MUJER,63,PANTCORD/JEANS COLOR,9925,169.09,"1,678,178.10",203,980,"372,962.61",47.1,"162,410.12",43.5,110,1.4,"1,771","517,556.87",-27.9,"193,996.38",-16.3,"2,225,427.74",-25.1
6,SECTOR ROPA MUJER,80,ABRIGOS DE MUJER,4277,124.4,"532,048.95",255,"3,851","669,173.66",110.9,"159,631.50",23.9,243,7.8,"1,810","398,899.58",67.8,"169,826.80",-6,"751,797.65",-29.2
2,SECTOR DE MARCAS M,15,ZAP DEP MARCA MUJER,4296,674.41,"2,897,285.76",171,429,"472,528.92",32.8,"158,906.57",33.6,62,1.2,626,"436,368.84",8.3,"45,442.52",249.7,"1,620,014.06",79.2
