SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
J657LTHBK      ,ChumZipCasMlCESTT V ,POLY/NEGR ,CEST,C EST TOI,2,342.56,685.12,0,190,"90,933.18","89,979.12",99,"25,846.78",28.4,23.5,933,99,52,6,
P2000BK        ,LeggCaTuPanCHOCO V  ,RAYO/2PCB ,CHOC,CHOCOLATE,515,217.1,"111,806.50",1.8,124,"48,639.36","20,369.12",41.9,"21,978.60",45.2,2.6,213,19.4,1227,3,
JJ087NVDBN     ,ChumpCtZipMlCESTT V ,POLY/GEOM ,CEST,C EST TOI,20,341.07,"6,821.40",0.1,163,"77,602.67","77,601.04",100,"21,932.77",28.3,19.2,755,89.1,107,6,
HP9440BBK      ,LeggCaTuPdeCHOCO V  ,RAYO/1P1B ,CHOC,CHOCOLATE,111,213.73,"23,724.03",0.4,119,"45,381.04","19,293.08",42.5,"19,947.17",44,8.4,657,51.7,75,3,
W8583WWH       ,JeanCaTuPdeCHIQL V  ,ALGD/1PZB ,CHIQ,CHIQLE,65,339.23,"22,049.95",0.5,56,"34,175.97","14,276.35",41.8,"15,179.09",44.4,7.3,580,46.3,52,3,
JJ087KHDBN     ,ChumpCtZipMlCESTT V ,POLY/GEOM ,CEST,C EST TOI,6,341.07,"2,046.42",0,87,"41,895.91","40,942.88",97.7,"12,198.98",29.1,21.1,866,93.5,107,6,
J59NV          ,JeanCaAcaPdeCIELO V ,ALGD/1P1B ,CIEL,CIELO,97,298.52,"28,956.44",0.9,46,"25,604.67","10,195.29",39.8,"11,872.75",46.4,4.6,398,32.2,51,3,
BE464MZ        ,BlusCvCasM34PAPER V ,POLY/MOST ,XPAM,PAPERMOON,31,202.11,"6,265.41",0.2,61,"24,173.56","10,039.51",41.5,"11,844.85",49,11.9,1144,66.3,64,4,
JJ087BKBN      ,ChumpCtZipMlCESTT V ,POLY/GEOM ,CEST,C EST TOI,10,341.07,"3,410.70",0.1,74,"36,182.82","34,277.76",94.7,"10,943.64",30.2,18.9,819,88.1,74,22,
D342661BK      ,PantCiReBroPdeDAZZ V,POLY/NEGR ,DAZZ,DAZZ,98,301.1,"29,507.80",1,44,"24,048.15","10,195.29",42.4,"10,808.47",44.9,4.4,359,31,147,8,
HJ8146BK       ,ChumpxZipCueCHOCO V ,CUER/NEGR ,CHOC,CHOCOLATE,26,461.35,"11,995.10",0.2,66,"40,636.84","39,423.80",97,"10,187.74",25.1,13.4,449,71.7,53,15,
HV1104DN       ,ChalBotPrelSmCESTT V,ALGD/PREL ,CEST,C EST TOI,30,286.07,"8,582.10",0.3,40,"21,380.49","9,054.31",42.3,"9,907.69",46.3,9.6,829,57.1,74,14,
BE464RD        ,BlusCvCasM34PAPER V ,POLY/ROJO ,XPAM,PAPERMOON,39,202.11,"7,882.29",0.3,50,"19,630.50","8,413.00",42.9,"9,525.00",48.5,9.4,884,56.2,64,3,
GJ261NV        ,BlazCvUsfM34CESTT V ,POLY/AZUL ,CEST,C EST TOI,32,177.73,"5,687.36",0.3,48,"17,384.16","7,450.56",42.9,"8,853.12",50.9,10.3,1067,60,149,3,
D34796BK       ,PantCaReUsfPanDAZZ V,POLY/2P2B ,DAZZ,DAZZ,42,273.84,"11,501.28",0.5,34,"17,360.75","7,030.51",40.5,"8,050.19",46.4,6.9,598,44.7,75,17,
D9179RD        ,VestForClSmKLAXO V  ,POLY/ROJO ,KLAX,KLAXONS,21,286.42,"6,014.82",0.4,21,"13,996.92","5,998.65",42.9,"7,982.10",57,8,1062,50,422,4,
D34792BK       ,PantCaReUsfPanDAZZ V,POLY/2P3B ,DAZZ,DAZZ,54,273.84,"14,787.36",0.7,35,"17,504.23","7,604.42",43.4,"7,919.83",45.2,5.9,485,39.3,75,17,
T4606OFWH      ,BlazCv1BotM34KLAXO V,POLY/BLAN ,KLAX,KLAXONS,13,203.74,"2,648.62",0.2,33,"14,323.25","5,620.30",39.2,"7,599.83",53.1,13.4,1517,71.7,75,7,
FL909RBK       ,LeggCiUsfPanJANN V  ,NYLO/NEGR ,JOIA,JOIA TRADING,147,80.84,"11,883.48",0.9,71,"13,005.30","5,207.62",40,"7,265.66",55.9,4.7,591,32.6,64,3,
B4849MD        ,OverClBotCtCESTT V  ,ALGD/PRELA,CEST,C EST TOI,28,385.86,"10,804.08",0.5,23,"15,901.26","5,998.65",37.7,"7,026.29",44.2,7,553,45.1,148,9,
BE4321RD       ,BlusClCasMmPAPER V  ,POLY/ROJO ,XPAM,PAPERMOON,18,183.18,"3,297.24",0.2,46,"15,260.04","6,539.82",42.9,"6,833.76",44.8,13.5,1092,71.9,51,13,
D34792GY       ,PantCaReUsfPanDAZZ V,POLY/2P3B ,DAZZ,DAZZ,21,273.84,"5,750.64",0.3,29,"14,562.93","6,241.38",42.9,"6,621.57",45.5,9.8,817,58,75,4,
BE4274MZ       ,BlusClCasM3/4PAPER V,POLY/MOST ,XPAM,PAPERMOON,4,210.32,841.28,0,36,"14,133.97","6,057.35",42.9,"6,562.45",46.4,19.6,1702,90,51,4,
D9884NV        ,VestFocClSmKARAG V  ,POLY/AZUL ,KARA,KARA GIRL,9,341.21,"3,070.89",0.2,19,"13,044.75","5,046.48",38.7,"6,561.76",50.3,12.3,1247,67.9,64,6,
D9635BK        ,VestForFjaSmKARAG V ,POLY/NEGR ,KARA,KARA GIRL,18,358.03,"6,444.54",0.4,20,"13,616.05","5,427.35",39.9,"6,455.45",47.4,8.6,773,52.6,52,25,
TM3115         ,JeanCaAcaPanCESTT V ,ALGD/2PZP ,CEST,C EST TOI,23,259.46,"5,967.58",0.4,26,"13,065.57","4,908.23",37.6,"6,319.61",48.4,8.7,812,53.1,74,15,
D9863NVIV      ,VestCarClMmKARAG V  ,RAYO/GEOM ,KARA,KARA GIRL,19,376.51,"7,153.69",0.5,18,"13,093.02","5,611.32",42.9,"6,315.84",48.2,7.6,706,48.6,64,25,
JJ087RDKH      ,ChumpCtZipMlCESTT V ,POLY/GEOM ,CEST,C EST TOI,9,341.07,"3,069.63",0.1,42,"20,471.86","19,519.28",95.3,"6,081.36",29.7,16.8,710,82.4,107,14,
IP8269NV       ,JeanCiTuPdeIRIS V   ,ALGD/1P2B ,IRIS,IRIS,10,146.94,"1,469.40",0.1,40,"11,836.81","5,380.39",45.5,"5,959.21",50.3,16,1622,80,74,19,
HP9080BK       ,PantCaTuPdeCHOCO V  ,RAYO/1PCB ,CHOC,CHOCOLATE,26,227.09,"5,904.34",0.4,29,"12,510.18","5,015.97",40.1,"5,924.57",47.4,8.6,773,52.7,75,23,
D34867KH       ,PantCaAcaBrPanDAZZ V,POLY/2P1B ,DAZZ,DAZZ,11,300.56,"3,306.16",0.2,22,"12,452.12","4,669.60",37.5,"5,839.80",46.9,11.7,1036,66.7,75,14,
BE4321RY       ,BlusClCasMmPAPER V  ,POLY/ROYA ,XPAM,PAPERMOON,25,183.18,"4,579.50",0.3,38,"12,795.68","5,212.90",40.7,"5,834.84",45.6,10.4,869,60.3,51,3,
SW340NVWH      ,SuetCvBotMlCIELO V  ,ALGD/RAYA ,CIEL,CIELO,7,175.16,"1,226.12",0.1,38,"12,416.56","5,592.02",45,"5,760.60",46.4,16.9,1462,84.4,813,22,
TA8804IV       ,BlusClCasMmMINE V   ,POLY/IVOR ,MINE,MINE EDGE,6,176.55,"1,059.30",0.1,40,"12,645.46","5,615.34",44.4,"5,583.46",44.2,18.5,1460,87,73,18,
0011BK         ,PantCaAcaPdeCIELO V ,ALGD/1Z1B ,CIEL,CIELO,64,374.03,"23,937.92",0.5,50,"24,217.61","10,477.89",43.3,"5,574.58",23,6.7,200,43.9,2342,4,
D9826NVRDHU    ,VestCvFjaSmKARAG V  ,POLY/FLOR ,KARA,KARA GIRL,15,337.63,"5,064.45",0.4,16,"10,949.97","4,284.75",39.1,"5,476.80",50,8.3,835,51.6,95,15,
