SKU,Description,Style/Color,Vendor,Vendor Description,OnHand Qty,OnHand Curr Cost,OnHand Value,OnHand Weeks,MTD Qty,MTD Sales,MTD Markdowns,MTD MD Pct,MTD Profit,MTD GP Pct,MTD Turns,MTD ROI Pct,MTD Sell Thru,Age_FirstRec,Age_LastRec,Comment
CHLOE03BE      ,ZapTaMetCharPAZZL V ,CHAR/BEIG ,SPRI,Springland I,229,253.91,"58,145.39",0.8,86,"54,472.01","5,204.25",9.6,"32,635.75",59.9,3.8,568,27.3,46,2,
K022BK         ,ZapPtAm7PuKISSE V   ,PLAN/NEGR ,KHAN,HANG GUAN SH,"1,847",180.54,"333,457.38",4.5,117,"50,234.57","5,212.90",10.4,"29,111.39",58,0.7,101,6,49,2,
CHLOE03BK      ,ZapTaMetCharPAZZL V ,CHAR/NEGR ,SPRI,Springland I,209,253.91,"53,067.19",1.3,47,"29,838.17","2,775.60",9.3,"17,904.40",60,2.4,364,18.4,46,2,
DENNISHNBPUBK  ,ZapTmHebGamuCITY V  ,TMED/NEGR ,FORD,FORTUNE DINA,92,262.74,"24,172.08",0.5,58,"31,419.85","6,154.29",19.6,"16,180.93",51.5,5.8,611,38.7,61,8,
YUKI3NV        ,ZapTcMetGamuCHERI V ,TCO/AZUL  ,ELEG,ELEGAN FOOT,63,271.38,"17,096.94",0.4,48,"28,797.33","4,510.35",15.7,"15,771.09",54.8,6.6,802,43.2,48,2,
DENNISHDBEPT   ,ZapTmHebCharCITY  V ,TMED/BEIG ,FORD,FORTUNE DINA,172,307.87,"52,953.64",1.1,45,"28,103.40","3,122.55",11.1,"14,938.66",53.2,2.8,313,20.7,61,2,
D4243CBE       ,ZapPtMetPatPuADDIC V,PLAN/BEIG ,KHAN,HANG GUAN SH,81,86.53,"7,008.93",0.3,80,"21,803.84","5,883.36",27,"14,877.92",68.2,8,1710,49.7,218,16,
12201BK        ,ZapPtMetGamCAMIL V  ,PLAN/NEGR ,KTIN,TINA DA,103,113.75,"11,716.25",0.3,88,"24,572.56","5,883.36",23.9,"14,562.56",59.3,7.2,1045,46.1,73,3,
611711ASL      ,ZapTcMetSuedMARIL V ,TCOR/ESCA ,KDEM,DE METER,106,200.29,"21,230.74",0.5,64,"27,163.09","5,949.87",21.9,"14,344.53",52.8,5.6,623,37.6,61,2,
YUKI3BK        ,ZapTcMetGamuCHERI V ,TCO/NEGR  ,ELEG,ELEGAN FOOT,53,271.38,"14,383.14",0.4,37,"22,552.12","3,122.55",13.8,"12,511.06",55.5,6.2,774,41.1,48,6,
611711AGD      ,ZapTcMetSuedMARIL V ,TCOR/GOLD ,KDEM,DE METER,43,200.29,"8,612.47",0.2,58,"23,800.06","6,208.56",26.1,"12,183.24",51.2,9.7,1014,57.4,61,2,
COREYHBKNBP    ,ZapTcMetPuCITY V    ,TCOR/NEGR ,FORD,FORTUNE DINA,84,239.11,"20,085.24",0.6,41,"21,850.56","3,034.80",13.9,"12,047.05",55.1,4.7,579,32.8,67,2,
201512BK       ,ZapPtMetCharADDIC V ,PLAN/NEGR ,KHAN,HANG GUAN SH,152,121.92,"18,531.84",0.5,85,"22,322.16","7,094.64",31.8,"11,958.96",53.6,5.2,604,35.9,50,8,
611711ABK      ,ZapTcMetPuMARIL V   ,TCOR/NEGR ,KDEM,DE METER,116,200.29,"23,233.64",0.6,54,"22,506.57","5,432.49",24.1,"11,690.91",51.9,4.5,490,31.8,61,2,
60616PBK       ,ZapPtAm4CosPuTOOTA T,PLAN/NEGR ,KXIE,xie zhen mei,288,147.05,"42,350.40",1.5,56,"19,919.84","4,330.40",21.7,"11,685.04",58.7,2.1,302,16.3,187,2,
11305BK        ,ZapPtMetPuKISSE X   ,PLAN/NEGR ,KFUL,Fu Liu Hua S,67,159.31,"10,673.77",0.3,57,"20,577.76","4,105.52",20,"11,502.79",55.9,7.2,908,46,552,14,
GIVA1BK        ,ZapPtMetCueCHERI V  ,PLAN/NEGR ,ELEG,ELEGAN FOOT,580,122.12,"70,829.60",2,85,"21,639.24","7,556.56",34.9,"11,294.41",52.2,1.6,179,12.8,287,2,
LYNDA17SLVGLT  ,SandPtMetPuBAMBO V  ,PLAN/ESCA ,JPOR,J.P ORIGINAL,45,182.5,"8,212.50",0.2,56,"20,785.92","3,464.32",16.7,"10,656.70",51.3,9.2,968,55.4,318,16,
BUMP10BK       ,ZapTcMetGamuTOPMO V ,TCOR/NEGR ,TOPG,TOP GUY INTL,123,218.27,"26,847.21",1.1,32,"17,386.98",560.86,3.2,"10,390.49",59.8,2.8,410,20.6,318,2,
11305BL        ,ZapPtMetPuPIUBE V   ,PLAN/AZUL ,KFUL,Fu Liu Hua S,97,155.04,"15,038.88",0.7,42,"16,488.62","1,735.60",10.5,"9,978.62",60.5,4.3,652,30.2,552,2,
810ECBK        ,ZapTmMetPuMARIL V   ,TMED/NEGR ,KSWE,SWEETY SHOES,78,209.27,"16,323.06",0.7,31,"16,387.92","2,427.84",14.8,"9,900.55",60.4,4,607,28.4,61,12,
